time,rpm,tps,water,a/f
05:15.2,5464,21,94,20.99825
05:15.3,5998,21,94,19.60125
05:15.4,5686,26,94,17.07675
05:15.5,5681,26,94,14.91525
05:15.6,5557,26,94,15.787
05:15.7,5370,26,94,14.753
05:15.8,5304,26,94,13.58425
05:15.9,5158,29,94,14.28275
05:16.0,5082,29,94,12.377
05:16.1,5134,30,94,11.8655
05:16.2,5153,30,94,13.1415
05:16.3,5414,31,94,12.12125
05:16.4,5590,39,94,12.24225
05:16.5,5899,25,94,12.53925
05:16.6,5287,14,94,13.3175
05:16.7,5227,15,94,16.47175
05:16.8,4969,15,94,16.4195
05:16.9,4893,24,94,15.12975
05:17.0,5071,31,94,14.4725
05:17.1,5323,33,94,12.08275
05:17.2,5749,20,94,12.8335
05:17.3,5537,22,94,14.45875
05:17.4,5668,28,94,16.084
05:17.5,5806,32,94,14.91525
05:17.6,5986,50,94,15.0885
05:17.7,6384,49,94,14.09575
05:17.8,6079,24,94,11.519
05:17.9,6062,30,94,13.51825
05:18.0,5924,17,94,14.995
05:21.1,2868,23,94,11.69225
05:21.2,3407,24,94,12.8335
05:21.3,3528,27,94,13.4385
05:21.4,3874,40,94,12.41825
05:21.5,3996,41,94,13.61175
05:21.6,4257,41,94,12.55025
05:21.7,4461,41,94,11.0625
05:21.8,4751,41,94,12.33575
05:21.9,5066,42,95,10.14675
05:22.0,5277,42,95,11.78575
05:22.1,5583,43,95,11.9205
05:22.2,5868,43,95,11.26325
05:22.3,6218,43,95,13.345
05:22.4,6739,43,95,12.81975
05:22.5,7064,43,95,14.31025
05:22.6,7530,39,95,13.23775
05:22.7,7751,39,95,14.753
05:22.8,7855,35,95,13.9885
05:22.9,7738,13,95,14.7805
05:23.0,7295,13,95,19.56
05:23.1,7270,22,95,18.83675
05:23.2,7222,22,95,15.171
05:23.3,7161,21,95,13.961
05:23.4,7040,13,95,14.9565
05:23.5,6875,15,95,14.8355
05:23.6,6604,17,95,14.5385
05:23.7,6268,17,95,13.57325
05:23.8,6347,33,95,15.37175
05:23.9,6613,34,95,16.10875
05:24.0,6781,33,95,12.09375
05:24.1,6996,31,95,13.719
05:24.2,7096,21,95,13.8125
05:24.3,6880,21,95,13.653
05:24.4,6840,16,95,14.94275
05:24.5,6672,17,95,12.982
05:24.6,6742,27,95,12.41825
05:24.7,7281,35,95,14.33775
05:24.8,6549,6,95,13.82625
05:24.9,4922,12,95,19.62875
05:25.0,5152,12,95,20.4345
05:25.1,5048,11,95,18.25925
05:25.2,4980,11,95,19.252
05:25.3,5006,12,95,19.84325
05:25.4,4939,16,95,20.2585
05:25.5,5132,25,95,15.31675
05:25.6,5073,16,95,13.97475
05:25.7,5024,15,95,12.60525
05:25.8,4779,15,95,14.632
05:25.9,4606,15,95,15.116
05:26.0,4661,18,95,13.94725
05:26.1,4657,19,95,13.33125
05:26.2,4733,20,95,12.53925
05:26.3,4777,20,95,13.719
05:26.4,4917,20,95,12.4045
05:26.5,4908,20,95,12.24225
05:26.6,5030,20,95,14.15075
05:26.7,5111,20,95,12.87475
05:26.8,5176,20,95,12.99575
05:26.9,5203,20,95,14.52475
05:27.0,5243,20,95,13.2625
05:27.1,5250,20,95,14.39
05:27.2,5183,25,95,13.2625
05:27.3,5155,26,95,13.78775
05:27.4,5185,26,95,13.719
05:27.5,5259,26,95,12.08275
05:27.6,5370,26,95,13.477
05:27.7,5436,26,95,13.82625
05:27.8,5550,26,95,14.45875
05:43.3,5266,16,79,21.15775
05:43.4,5620,26,79,17.492
05:43.5,5716,26,79,18.6085
05:43.6,5697,26,79,17.8275
05:43.7,5830,26,79,17.7065
05:43.8,6141,26,79,16.37825
05:43.9,6289,35,78,16.513
05:44.0,6663,28,79,16.7825
05:44.1,7390,11,79,20.9295
05:44.2,6115,15,79,20.94325
05:44.3,5978,16,79,21.02575
05:44.4,5788,16,79,21.02575
05:44.5,5608,17,79,20.97075
05:44.6,5903,9,80,18.11075
05:44.7,5231,19,80,14.43125
05:44.8,6064,26,80,20.528
05:44.9,6270,22,80,20.99825
05:45.0,5980,19,80,14.203
05:45.1,5381,7,80,16.10875
05:45.2,5235,39,80,21.0505
05:45.3,6200,52,80,20.97075
05:45.4,6858,43,80,16.74125
05:45.5,6921,23,80,17.02175
05:45.6,6646,23,80,14.33775
05:45.7,5894,13,80,16.52675
05:45.8,6371,6,80,17.492
05:45.9,5252,13,80,21.1055
05:46.0,5222,26,80,21.078
05:46.1,6046,29,80,17.91
05:46.2,6149,31,80,15.358
05:46.3,6081,23,80,15.8145
05:46.4,6109,28,80,15.5725
05:46.5,6850,31,80,17.19775
05:46.6,7703,36,81,19.78825
05:46.7,7367,10,81,20.0165
05:46.8,7070,18,81,20.9845
05:46.9,6998,36,81,21.03675
05:47.0,7678,36,81,16.64775
05:47.1,7259,17,81,20.286
05:47.2,7928,15,82,19.60125
05:47.3,7569,13,82,20.97075
05:47.4,5716,7,82,21.012
05:47.5,5096,7,82,21.012
05:47.6,4570,7,82,20.99825
05:47.7,4451,9,82,21.0505
05:47.8,4050,12,82,21.02575
05:47.9,4398,24,82,21.03675
05:48.0,4547,27,82,18.13825
05:48.1,5043,27,82,14.21675
05:48.2,5293,27,82,12.66025
05:48.3,5476,22,82,14.24425
05:48.4,5217,14,82,16.2435
05:48.5,5018,13,82,16.59275
05:48.6,4921,17,82,16.9695
05:48.7,5293,26,82,18.11075
05:48.8,5461,27,82,14.9015
05:48.9,5522,31,82,14.76675
05:49.0,5937,35,82,15.73475
05:49.1,6865,38,82,16.52675
05:49.2,7043,40,82,16.49925
05:49.3,7681,41,82,14.88775
05:49.4,7835,25,84,20.78375
05:49.5,7479,28,84,20.91575
05:49.6,7428,29,84,20.11275
05:49.7,7309,31,84,17.1565
05:49.8,7413,30,84,16.31225
05:49.9,7315,27,84,17.1565
05:50.0,7067,15,84,15.358
05:50.1,6443,9,84,16.7825
05:50.2,6476,52,84,20.891
05:50.3,8389,11,84,18.218
05:50.4,8159,12,84,18.889
05:50.5,7716,17,84,20.91575
05:50.6,7347,18,84,20.78375
05:50.7,7129,16,84,20.94325
05:50.8,6129,20,85,16.755
05:50.9,6071,20,85,16.62025
05:51.0,5996,20,85,15.8805
